"date","close","volume","open","high","low"
"2018/07/24","117.3800","738414.0000","118.6000","118.6800","116.9000"
"2018/07/23","116.8100","715812.0000","117.1400","117.1400","116.3300"
"2018/07/20","116.4000","1451308.0000","117.0500","117.3200","116.1800"
"2018/07/19","117.4100","1390505.0000","118.0800","118.7700","116.8801"
"2018/07/18","121.9600","1738861.0000","121.6500","122.7400","121.2700"
"2018/07/17","121.6400","741684.0000","119.7200","121.9100","119.6800"
"2018/07/16","120.5700","1450807.0000","120.0700","120.8000","120.0600"
"2018/07/13","119.9100","804224.0000","119.4800","119.9800","119.0600"
"2018/07/12","119.4400","755351.0000","118.1100","119.6100","118.1100"
"2018/07/11","117.8200","654165.0000","117.6200","118.4600","117.4800"
"2018/07/10","119.6700","511957.0000","119.2600","120.1300","119.2600"
"2018/07/09","119.3800","808810.0000","119.4500","119.4800","118.5500"
"2018/07/06","117.1300","863695.0000","116.4800","117.1900","116.2400"
"2018/07/05","116.4500","896836.0000","115.6300","116.5700","115.2700"
"2018/07/03","115.1800","1279296.0000","115.9500","115.9500","114.9900"
"2018/07/02","115.3200","521682.0000","113.5920","115.3900","113.5300"
"2018/06/29","115.6600","615538.0000","115.0200","115.8200","115.0000"
"2018/06/28","113.2100","1037472.0000","112.2600","113.4926","112.2000"
"2018/06/27","114.8400","521206.0000","116.0100","116.6600","114.5500"
"2018/06/26","115.2100","1077260.0000","115.6120","115.8700","114.7400"
"2018/06/25","116.2700","1453376.0000","116.3440","116.5700","115.3600"
"2018/06/22","117.8300","1463362.0000","117.6560","118.2700","116.1700"
"2018/06/21","117.9400","620533.0000","119.0400","119.0400","117.5400"
"2018/06/20","118.5900","855206.0000","118.7400","119.2400","118.1300"
"2018/06/19","118.5100","1515806.0000","116.7200","118.7300","116.7200"
"2018/06/18","119.4700","1986041.0000","118.4600","119.5200","118.4400"
"2018/06/15","121.1800","544123.0000","121.0200","121.2000","120.4400"
"2018/06/14","121.3800","536113.0000","120.6600","121.9450","120.5400"
"2018/06/13","120.5000","460063.0000","120.9800","121.3800","120.0800"
"2018/06/12","120.1900","755486.0000","120.5800","120.7900","119.9900"
"2018/06/11","120.0100","722698.0000","119.3100","120.5600","119.0700"
"2018/06/08","118.7500","911738.0000","118.0700","119.0700","117.5200"
"2018/06/07","116.9300","1074812.0000","117.8900","118.0200","116.4445"
"2018/06/06","116.8900","1384923.0000","116.4500","116.9400","115.8200"
"2018/06/05","115.6700","640748.0000","116.1700","116.4400","115.3400"
"2018/06/04","114.6100","535664.0000","114.1400","114.9200","114.0500"
"2018/06/01","113.7300","518115.0000","114.4600","114.4600","113.1800"
"2018/05/31","112.7900","408637.0000","112.6800","113.0300","111.8700"
"2018/05/30","112.4000","671289.0000","111.8800","112.6500","110.9900"
"2018/05/29","110.2900","1017267.0000","110.6700","111.1500","109.7200"
"2018/05/25","114.0300","2068317.0000","113.6800","114.2600","113.5400"
"2018/05/24","114.0300","1999181.0000","113.9500","114.2597","112.9400"
"2018/05/23","113.6300","779561.0000","112.0200","113.7100","112.0200"
"2018/05/22","113.1100","650038.0000","113.4000","113.8600","112.8800"
"2018/05/21","113.7200","397150.0000","114.1900","114.4400","113.4700"
"2018/05/18","113.2400","1224772.0000","112.4900","113.3300","112.1200"
"2018/05/17","114.5500","532487.0000","114.2500","115.1800","113.9621"
"2018/05/16","114.1600","616499.0000","113.6500","114.7200","113.0800"
"2018/05/15","113.6400","524664.0000","113.4600","113.9700","112.6000"
"2018/05/14","115.1900","1085907.0000","115.9500","116.2600","115.0000"
"2018/05/11","116.1800","548960.0000","115.9200","116.4300","115.6800"
"2018/05/10","116.4600","1717766.0000","115.4800","116.6890","115.3800"
"2018/05/09","115.0700","814612.0000","114.7300","115.3600","114.3508"
"2018/05/08","114.8000","982788.0000","113.9900","115.1000","113.8700"
"2018/05/07","113.9900","894699.0000","114.3500","114.6100","113.7700"
"2018/05/04","114.0200","896318.0000","112.6200","114.2100","112.5700"
"2018/05/03","113.1400","737577.0000","112.9200","113.3000","111.6700"
"2018/05/02","111.9800","984760.0000","112.5200","112.7400","111.7200"
"2018/05/01","111.7200","896481.0000","110.4100","111.7500","110.1698"
"2018/04/30","110.8300","412241.0000","110.7400","111.5100","110.6900"
"2018/04/27","111.3500","946447.0000","111.3800","111.5700","110.5400"
"2018/04/26","109.8800","1801433.0000","109.3300","110.2200","109.1500"
"2018/04/25","108.8900","1009209.0000","108.5800","109.0000","107.6100"
"2018/04/24","108.5000","3035030.0000","110.5900","111.1300","108.5000"
"2018/04/23","105.9800","1179648.0000","106.4500","106.7200","105.5700"
"2018/04/20","106.0000","1004039.0000","106.8000","106.8000","105.8550"
"2018/04/19","107.8700","900300.0000","108.8600","109.0700","107.0900"
"2018/04/18","109.0100","639048.0000","109.5800","109.6000","108.7600"
"2018/04/17","109.4400","587220.0000","108.4500","109.6300","108.3200"
"2018/04/16","107.9500","391065.0000","108.3900","108.5000","107.7310"
"2018/04/13","108.1300","483491.0000","108.5400","108.6200","107.8600"
"2018/04/12","107.9100","602793.0000","107.7100","108.1900","107.5900"
"2018/04/11","106.9700","794552.0000","107.3100","107.9950","106.8572"
"2018/04/10","107.7400","973224.0000","107.9800","108.3600","107.2600"
"2018/04/09","107.1700","821503.0000","107.9500","108.0800","107.1200"
"2018/04/06","105.3600","598560.0000","105.8400","106.4500","105.0600"
